x,y,u,v,p,
0,0,0,0,2.21794,
0.0125,0,0,0,2.21794,
0.0375,0,0,0,2.21758,
0.0625,0,0,0,2.21727,
0.0875,0,0,0,2.21701,
0.1125,0,0,0,2.21675,
0.1375,0,0,0,2.21649,
0.1625,0,0,0,2.21621,
0.1875,0,0,0,2.2159,
0.2125,0,0,0,2.21554,
0.2375,0,0,0,2.21514,
0.2625,0,0,0,2.21468,
0.2875,0,0,0,2.21415,
0.3125,0,0,0,2.21355,
0.3375,0,0,0,2.21287,
0.3625,0,0,0,2.21211,
0.3875,0,0,0,2.21126,
0.4125,0,0,0,2.21031,
0.4375,0,0,0,2.20927,
0.4625,0,0,0,2.20812,
0.4875,0,0,0,2.20686,
0.5125,0,0,0,2.20548,
0.5375,0,0,0,2.20397,
0.5625,0,0,0,2.20234,
0.5875,0,0,0,2.20056,
0.6125,0,0,0,2.19865,
0.6375,0,0,0,2.19659,
0.6625,0,0,0,2.19437,
0.6875,0,0,0,2.19199,
0.7125,0,0,0,2.18943,
0.7375,0,0,0,2.18671,
0.7625,0,0,0,2.1838,
0.7875,0,0,0,2.1807,
0.8125,0,0,0,2.1774,
0.8375,0,0,0,2.1739,
0.8625,0,0,0,2.17019,
0.8875,0,0,0,2.16626,
0.9125,0,0,0,2.16211,
0.9375,0,0,0,2.15772,
0.9625,0,0,0,2.1531,
0.9875,0,0,0,2.14824,
1.0125,0,0,0,2.14313,
1.0375,0,0,0,2.13777,
1.0625,0,0,0,2.13215,
1.0875,0,0,0,2.12626,
1.1125,0,0,0,2.12011,
1.1375,0,0,0,2.11368,
1.1625,0,0,0,2.10698,
1.1875,0,0,0,2.10001,
1.2125,0,0,0,2.09275,
1.2375,0,0,0,2.08522,
1.2625,0,0,0,2.07741,
1.2875,0,0,0,2.06931,
1.3125,0,0,0,2.06094,
1.3375,0,0,0,2.05229,
1.3625,0,0,0,2.04337,
1.3875,0,0,0,2.03418,
1.4125,0,0,0,2.02472,
1.4375,0,0,0,2.015,
1.4625,0,0,0,2.00502,
1.4875,0,0,0,1.9948,
1.5125,0,0,0,1.98433,
1.5375,0,0,0,1.97364,
1.5625,0,0,0,1.96271,
1.5875,0,0,0,1.95158,
1.6125,0,0,0,1.94024,
1.6375,0,0,0,1.92871,
1.6625,0,0,0,1.917,
1.6875,0,0,0,1.90512,
1.7125,0,0,0,1.89308,
1.7375,0,0,0,1.8809,
1.7625,0,0,0,1.86859,
1.7875,0,0,0,1.85616,
1.8125,0,0,0,1.84363,
1.8375,0,0,0,1.831,
1.8625,0,0,0,1.81831,
1.8875,0,0,0,1.80554,
1.9125,0,0,0,1.79273,
1.9375,0,0,0,1.77988,
1.9625,0,0,0,1.76701,
1.9875,0,0,0,1.75413,
2.0125,0,0,0,1.74125,
2.0375,0,0,0,1.72839,
2.0625,0,0,0,1.71555,
2.0875,0,0,0,1.70275,
2.1125,0,0,0,1.69,
2.1375,0,0,0,1.6773,
2.1625,0,0,0,1.66468,
2.1875,0,0,0,1.65213,
2.2125,0,0,0,1.63967,
2.2375,0,0,0,1.6273,
2.2625,0,0,0,1.61504,
2.2875,0,0,0,1.60288,
2.3125,0,0,0,1.59084,
2.3375,0,0,0,1.57893,
2.3625,0,0,0,1.56713,
2.3875,0,0,0,1.55547,
2.4125,0,0,0,1.54394,
2.4375,0,0,0,1.53255,
2.4625,0,0,0,1.5213,
2.4875,0,0,0,1.5102,
2.5125,0,0,0,1.49924,
2.5375,0,0,0,1.48843,
2.5625,0,0,0,1.47776,
2.5875,0,0,0,1.46725,
2.6125,0,0,0,1.45688,
2.6375,0,0,0,1.44666,
2.6625,0,0,0,1.43659,
2.6875,0,0,0,1.42667,
2.7125,0,0,0,1.41689,
2.7375,0,0,0,1.40726,
2.7625,0,0,0,1.39778,
2.7875,0,0,0,1.38843,
2.8125,0,0,0,1.37923,
2.8375,0,0,0,1.37016,
2.8625,0,0,0,1.36123,
2.8875,0,0,0,1.35244,
2.9125,0,0,0,1.34377,
2.9375,0,0,0,1.33524,
2.9625,0,0,0,1.32683,
2.9875,0,0,0,1.31855,
3.0125,0,0,0,1.31038,
3.0375,0,0,0,1.30234,
3.0625,0,0,0,1.29441,
3.0875,0,0,0,1.2866,
3.1125,0,0,0,1.2789,
3.1375,0,0,0,1.27132,
3.1625,0,0,0,1.26384,
3.1875,0,0,0,1.25646,
3.2125,0,0,0,1.24919,
3.2375,0,0,0,1.24203,
3.2625,0,0,0,1.23496,
3.2875,0,0,0,1.22799,
3.3125,0,0,0,1.22113,
3.3375,0,0,0,1.21436,
3.3625,0,0,0,1.20768,
3.3875,0,0,0,1.2011,
3.4125,0,0,0,1.19462,
3.4375,0,0,0,1.18823,
3.4625,0,0,0,1.18193,
3.4875,0,0,0,1.17572,
3.5125,0,0,0,1.1696,
3.5375,0,0,0,1.16358,
3.5625,0,0,0,1.15765,
3.5875,0,0,0,1.15181,
3.6125,0,0,0,1.14606,
3.6375,0,0,0,1.1404,
3.6625,0,0,0,1.13484,
3.6875,0,0,0,1.12936,
3.7125,0,0,0,1.12398,
3.7375,0,0,0,1.11869,
3.7625,0,0,0,1.11348,
3.7875,0,0,0,1.10837,
3.8125,0,0,0,1.10335,
3.8375,0,0,0,1.09842,
3.8625,0,0,0,1.09358,
3.8875,0,0,0,1.08883,
3.9125,0,0,0,1.08417,
3.9375,0,0,0,1.0796,
3.9625,0,0,0,1.07511,
3.9875,0,0,0,1.07072,
4.0125,0,0,0,1.0664,
4.0375,0,0,0,1.06217,
4.0625,0,0,0,1.05802,
4.0875,0,0,0,1.05394,
4.1125,0,0,0,1.04995,
4.1375,0,0,0,1.04603,
4.1625,0,0,0,1.04218,
4.1875,0,0,0,1.03839,
4.2125,0,0,0,1.03467,
4.2375,0,0,0,1.03101,
4.2625,0,0,0,1.02741,
4.2875,0,0,0,1.02386,
4.3125,0,0,0,1.02035,
4.3375,0,0,0,1.01688,
4.3625,0,0,0,1.01345,
4.3875,0,0,0,1.01004,
4.4125,0,0,0,1.00666,
4.4375,0,0,0,1.00329,
4.4625,0,0,0,0.999924,
4.4875,0,0,0,0.996557,
4.5125,0,0,0,0.99318,
4.5375,0,0,0,0.989783,
4.5625,0,0,0,0.986356,
4.5875,0,0,0,0.982889,
4.6125,0,0,0,0.979371,
4.6375,0,0,0,0.975791,
4.6625,0,0,0,0.972136,
4.6875,0,0,0,0.968395,
4.7125,0,0,0,0.964554,
4.7375,0,0,0,0.960599,
4.7625,0,0,0,0.956516,
4.7875,0,0,0,0.952291,
4.8125,0,0,0,0.947906,
4.8375,0,0,0,0.943347,
4.8625,0,0,0,0.938597,
4.8875,0,0,0,0.933638,
4.9125,0,0,0,0.928454,
4.9375,0,0,0,0.923025,
4.9625,0,0,0,0.917334,
4.9875,0,0,0,0.911362,
5.0125,0,0,0,0.90509,
5.0375,0,0,0,0.8985,
5.0625,0,0,0,0.891572,
5.0875,0,0,0,0.884289,
5.1125,0,0,0,0.876632,
5.1375,0,0,0,0.868584,
5.1625,0,0,0,0.860129,
5.1875,0,0,0,0.851251,
5.2125,0,0,0,0.841936,
5.2375,0,0,0,0.83217,
5.2625,0,0,0,0.821944,
5.2875,0,0,0,0.811248,
5.3125,0,0,0,0.800076,
5.3375,0,0,0,0.788423,
5.3625,0,0,0,0.776287,
5.3875,0,0,0,0.76367,
5.4125,0,0,0,0.750575,
5.4375,0,0,0,0.73701,
5.4625,0,0,0,0.722984,
5.4875,0,0,0,0.70851,
5.5125,0,0,0,0.693605,
5.5375,0,0,0,0.678288,
5.5625,0,0,0,0.662581,
5.5875,0,0,0,0.646508,
5.6125,0,0,0,0.630096,
5.6375,0,0,0,0.613375,
5.6625,0,0,0,0.596375,
5.6875,0,0,0,0.579129,
5.7125,0,0,0,0.561672,
5.7375,0,0,0,0.544039,
5.7625,0,0,0,0.526264,
5.7875,0,0,0,0.508385,
5.8125,0,0,0,0.490437,
5.8375,0,0,0,0.472456,
5.8625,0,0,0,0.454478,
5.8875,0,0,0,0.436537,
5.9125,0,0,0,0.418666,
5.9375,0,0,0,0.400898,
5.9625,0,0,0,0.383265,
5.9875,0,0,0,0.365794,
6.0125,0,0,0,0.348516,
6.0375,0,0,0,0.331455,
6.0625,0,0,0,0.314638,
6.0875,0,0,0,0.298086,
6.1125,0,0,0,0.281821,
6.1375,0,0,0,0.265862,
6.1625,0,0,0,0.250228,
6.1875,0,0,0,0.234934,
