x,y,u,v,p
0,-0.5,0,0,-0.08453588
0.025,-0.5,0,0,-0.08454937
0.05,-0.5,0,0,-0.08458795
0.075,-0.5,0,0,-0.0846443
0.1,-0.5,0,0,-0.08470685
0.125,-0.5,0,0,-0.08476588
0.15,-0.5,0,0,-0.08481636
0.175,-0.5,0,0,-0.08485643
0.2,-0.5,0,0,-0.08488605
0.225,-0.5,0,0,-0.08490596
0.25,-0.5,0,0,-0.08491702
0.275,-0.5,0,0,-0.08491991
0.3,-0.5,0,0,-0.08491507
0.325,-0.5,0,0,-0.08490261
0.35,-0.5,0,0,-0.08488242
0.375,-0.5,0,0,-0.08485422
0.4,-0.5,0,0,-0.08481764
0.425,-0.5,0,0,-0.08477226
0.45,-0.5,0,0,-0.08471764
0.475,-0.5,0,0,-0.08465335
0.5,-0.5,0,0,-0.08457898
0.525,-0.5,0,0,-0.08449414
0.55,-0.5,0,0,-0.08439848
0.575,-0.5,0,0,-0.08429167
0.6,-0.5,0,0,-0.08417339
0.625,-0.5,0,0,-0.08404335
0.65,-0.5,0,0,-0.0839013
0.675,-0.5,0,0,-0.08374696
0.7,-0.5,0,0,-0.08358012
0.725,-0.5,0,0,-0.08340053
0.75,-0.5,0,0,-0.08320799
0.775,-0.5,0,0,-0.0830023
0.8,-0.5,0,0,-0.08278327
0.825,-0.5,0,0,-0.08255069
0.85,-0.5,0,0,-0.08230443
0.875,-0.5,0,0,-0.08204429
0.9,-0.5,0,0,-0.08177014
0.925,-0.5,0,0,-0.08148181
0.95,-0.5,0,0,-0.08117916
0.975,-0.5,0,0,-0.08086203
1,-0.5,0,0,-0.08053032
1.025,-0.5,0,0,-0.08018387
1.05,-0.5,0,0,-0.07982256
1.075,-0.5,0,0,-0.07944625
1.1,-0.5,0,0,-0.07905485
1.125,-0.5,0,0,-0.07864822
1.15,-0.5,0,0,-0.07822625
1.175,-0.5,0,0,-0.07778881
1.2,-0.5,0,0,-0.07733579
1.225,-0.5,0,0,-0.0768671
1.25,-0.5,0,0,-0.0763826
1.275,-0.5,0,0,-0.0758822
1.3,-0.5,0,0,-0.07536576
1.325,-0.5,0,0,-0.07483319
1.35,-0.5,0,0,-0.07428437
1.375,-0.5,0,0,-0.07371919
1.4,-0.5,0,0,-0.07313752
1.425,-0.5,0,0,-0.07253926
1.45,-0.5,0,0,-0.07192427
1.475,-0.5,0,0,-0.07129244
1.5,-0.5,0,0,-0.07064364
1.525,-0.5,0,0,-0.06997774
1.55,-0.5,0,0,-0.0692946
1.575,-0.5,0,0,-0.06859409
1.6,-0.5,0,0,-0.06787607
1.625,-0.5,0,0,-0.06714039
1.65,-0.5,0,0,-0.06638687
1.675,-0.5,0,0,-0.06561538
1.7,-0.5,0,0,-0.06482574
1.725,-0.5,0,0,-0.06401779
1.75,-0.5,0,0,-0.06319134
1.775,-0.5,0,0,-0.0623462
1.8,-0.5,0,0,-0.06148217
1.825,-0.5,0,0,-0.06059904
1.85,-0.5,0,0,-0.05969661
1.875,-0.5,0,0,-0.05877465
1.9,-0.5,0,0,-0.05783293
1.925,-0.5,0,0,-0.05687119
1.95,-0.5,0,0,-0.05588919
1.975,-0.5,0,0,-0.05488665
2,-0.5,0,0,-0.05386331
2.025,-0.5,0,0,-0.05281885
2.05,-0.5,0,0,-0.051753
2.075,-0.5,0,0,-0.05066542
2.1,-0.5,0,0,-0.0495558
2.125,-0.5,0,0,-0.04842378
2.15,-0.5,0,0,-0.04726901
2.175,-0.5,0,0,-0.04609113
2.2,-0.5,0,0,-0.04488974
2.225,-0.5,0,0,-0.04366447
2.25,-0.5,0,0,-0.04241489
2.275,-0.5,0,0,-0.04114057
2.3,-0.5,0,0,-0.03984109
2.325,-0.5,0,0,-0.03851601
2.35,-0.5,0,0,-0.03716485
2.375,-0.5,0,0,-0.03578713
2.4,-0.5,0,0,-0.03438238
2.425,-0.5,0,0,-0.03295013
2.45,-0.5,0,0,-0.03148984
