X,Y,U,V,T,
0,0,0,0,1,
0.0025,0,0,0,0.903174,
0.0075,0,0,0,0.716393,
0.0125,0,0,0,0.556398,
0.0175,0,0,0,0.43344,
0.0225,0,0,0,0.346224,
0.0275,0,0,0,0.287287,
0.0325,0,0,0,0.248404,
0.0375,0,0,0,0.222933,
0.0425,0,0,0,0.206192,
0.0475,0,0,0,0.195084,
0.0525,0,0,0,0.187619,
0.0575,0,0,0,0.182527,
0.0625,0,0,0,0.178996,
0.0675,0,0,0,0.176505,
0.0725,0,0,0,0.174715,
0.0775,0,0,0,0.173402,
0.0825,0,0,0,0.172416,
0.0875,0,0,0,0.171659,
0.0925,0,0,0,0.171062,
0.0975,0,0,0,0.170578,
0.1025,0,0,0,0.170174,
0.1075,0,0,0,0.169828,
0.1125,0,0,0,0.169524,
0.1175,0,0,0,0.16925,
0.1225,0,0,0,0.168998,
0.1275,0,0,0,0.168762,
0.1325,0,0,0,0.168539,
0.1375,0,0,0,0.168324,
0.1425,0,0,0,0.168116,
0.1475,0,0,0,0.167912,
0.1525,0,0,0,0.167713,
0.1575,0,0,0,0.167516,
0.1625,0,0,0,0.16732,
0.1675,0,0,0,0.167127,
0.1725,0,0,0,0.166934,
0.1775,0,0,0,0.166742,
0.1825,0,0,0,0.16655,
0.1875,0,0,0,0.166358,
0.1925,0,0,0,0.166166,
0.1975,0,0,0,0.165974,
0.2025,0,0,0,0.165782,
0.2075,0,0,0,0.165589,
0.2125,0,0,0,0.165396,
0.2175,0,0,0,0.165202,
0.2225,0,0,0,0.165008,
0.2275,0,0,0,0.164812,
0.2325,0,0,0,0.164616,
0.2375,0,0,0,0.164419,
0.2425,0,0,0,0.164221,
0.2475,0,0,0,0.164023,
0.2525,0,0,0,0.163823,
0.2575,0,0,0,0.163621,
0.2625,0,0,0,0.163419,
0.2675,0,0,0,0.163215,
0.2725,0,0,0,0.163011,
0.2775,0,0,0,0.162804,
0.2825,0,0,0,0.162597,
0.2875,0,0,0,0.162387,
0.2925,0,0,0,0.162177,
0.2975,0,0,0,0.161964,
0.3025,0,0,0,0.16175,
0.3075,0,0,0,0.161534,
0.3125,0,0,0,0.161317,
0.3175,0,0,0,0.161097,
0.3225,0,0,0,0.160876,
0.3275,0,0,0,0.160653,
0.3325,0,0,0,0.160428,
0.3375,0,0,0,0.1602,
0.3425,0,0,0,0.159971,
0.3475,0,0,0,0.15974,
0.3525,0,0,0,0.159506,
0.3575,0,0,0,0.15927,
0.3625,0,0,0,0.159032,
0.3675,0,0,0,0.158791,
0.3725,0,0,0,0.158548,
0.3775,0,0,0,0.158303,
0.3825,0,0,0,0.158056,
0.3875,0,0,0,0.157806,
0.3925,0,0,0,0.157553,
0.3975,0,0,0,0.157299,
0.4025,0,0,0,0.157041,
0.4075,0,0,0,0.156782,
